Officer Name,Season,Role,ORV per Badge,SRV per Exclusive Star,Notes
S7 Roisin,S7,Tank Destroyer,600,300,Tank Destroyer
S7 Barbara,S7,Tank Destroyer,600,300,Tank Destroyer
S7 Romana,S7,Tank,500,250,Tank
S7 Liora,S7,Tank,500,250,Tank
S7 Stella,S7,Infantry,416,208,Infantry
S7 Klara,S7,Infantry,416,208,Infantry
S7 Code,S7,Rally,346,173,Rally
S7 Kamila,S7,Garrison,346,173,Garrison
S6 Regina,S6,Tank Destroyer,289,144,Tank Destroyer
S6 Veronica,S6,Tank Destroyer,289,144,Tank Destroyer
S6 Silverhand,S6,Tank,240,120,Tank
S6 Red Queen,S6,Tank,240,120,Tank
S6 Samantha,S6,Infantry,200,100,Infantry
S6 Saoirse,S6,Infantry,200,100,Infantry
S6 Emily,S6,Rally,167,84,Rally
S6 Zoya,S6,Garrison,167,84,Garrison
S5 Feng,S5,Tank Destroyer,139,69,Tank Destroyer
S5 Halina,S5,Tank Destroyer,139,69,Tank Destroyer
S5 Eva,S5,Tank,116,58,Tank
S5 Elsa,S5,Tank,116,58,Tank
S5 Camile,S5,Infantry,96,48,Infantry
S5 Betty,S5,Infantry,96,48,Infantry
S5 Miyeon,S5,Rally,80,40,Rally
S5 Julia,S5,Garrison,80,40,Garrison
S4 Melina,S4,Tank Destroyer,67,34,Tank Destroyer
S4 Jane,S4,Tank Destroyer,67,34,Tank Destroyer
S4 Anna,S4,Tank,56,28,Tank
S4 Yuki,S4,Tank,56,28,Tank
S4 Eunice,S4,Infantry,47,23,Infantry
S4 Derya,S4,Infantry,47,23,Infantry
S4 Hardwin,S4,Rally,39,20,Rally
S4 Erin,S4,Garrison,39,20,Garrison
S3 Su,S3,Tank Destroyer,33,16,Tank Destroyer
S3 Erica,S3,Tank Destroyer,33,16,Tank Destroyer
S3 Aurora,S3,Tank,28,14,Tank
S3 Ada,S3,Tank,28,14,Tank
S3 Hannah,S3,Infantry,23,11,Infantry
S3 Christina,S3,Infantry,23,11,Infantry
S3 Sophia,S3,Rally,23,11,Rally
S3 Oliva,S3,Garrison,23,11,Garrison
S2 Lady Pandora,S2,Tank,20,10,Tank
S2 Amanda,S2,Infantry,20,10,Infantry
S2 Diana,S2,Tank Destroyer,20,10,Tank Destroyer
S2 Natalia,S2,Tank,20,10,Tank
Katherine,Original,Tank,0,0,Tank
Grace,Original,Tank,0,0,Tank
Chloe,Original,Rally,0,0,Rally
Ling,Original,Tank Destroyer,0,0,Tank Destroyer
Jessica,Original,Tank Destroyer,0,0,Tank Destroyer
Lilith,Original,Tank Destroyer,0,0,Tank Destroyer
Angel,Original,Gatherer,0,0,Gatherer
Sakura,Original,Infantry,0,0,Infantry
Loubna,Original,Infantry,0,0,Infantry
Angelica,Original,Infantry,0,0,Infantry
Ophelia,Original,Rally,0,0,Rally
Doireann,Original,Garrison,0,0,Garrison
