Officer Name,Season,ORV per Badge,SRV per Exclusive Star,Notes
S7 Roisin,S7,600,300,Tank Destroyer
S7 Barbara,S7,600,300,Tank Destroyer
S7 Romana,S7,500,250,Tank
S7 Liora,S7,500,250,Tank
S7 Stella,S7,416,208,Infantry
S7 Klara,S7,416,208,Infantry
S7 Code,S7,346,173,Rally
S7 Kamila,S7,346,173,Garrison
S6 Regina,S6,289,144,Tank Destroyer
S6 Veronica,S6,289,144,Tank Destroyer
S6 Silverhand,S6,240,120,Tank
S6 Red Queen,S6,240,120,Tank
S6 Samantha,S6,200,100,Infantry
S6 Saoirse,S6,200,100,Infantry
S6 Emily,S6,167,84,Rally
S6 Zoya,S6,167,84,Garrison
S5 Feng,S5,139,69,Tank Destroyer
S5 Halina,S5,139,69,Tank Destroyer
S5 Eva,S5,116,58,Tank
S5 Elsa,S5,116,58,Tank
S5 Camile,S5,96,48,Infantry
S5 Betty,S5,96,48,Infantry
S5 Miyeon,S5,80,40,Rally
S5 Julia,S5,80,40,Garrison
S4 Melina,S4,67,34,Tank Destroyer
S4 Jane,S4,67,34,Tank Destroyer
S4 Anna,S4,56,28,Tank
S4 Yuki,S4,56,28,Tank
S4 Eunice,S4,47,23,Infantry
S4 Derya,S4,47,23,Infantry
S4 Hardwin,S4,39,20,Rally
S4 Erin,S4,39,20,Garrison
S3 Su,S3,33,16,Tank Destroyer
S3 Erica,S3,33,16,Tank Destroyer
S3 Aurora,S3,28,14,Tank
S3 Ada,S3,28,14,Tank
S3 Hannah,S3,23,11,Infantry
S3 Christina,S3,23,11,Infantry
S3 Sophia,S3,23,11,Rally
S3 Oliva,S3,23,11,Garrison
S2 Lady Pandora,S2,20,10,Tank
S2 Amanda,S2,20,10,Infantry
S2 Diana,S2,20,10,Tank Destroyer
S2 Natalia,S2,20,10,Tank
