Officer Name,Season,Rarity,Role,ORV per Badge,SRV per Exclusive Star,Notes
S7 Roisin,S7,Legendary,Tank Destroyer,600,300,Tank Destroyer
S7 Barbara,S7,Legendary,Tank Destroyer,600,300,Tank Destroyer
S7 Romana,S7,Legendary,Tank,500,250,Tank
S7 Liora,S7,Legendary,Tank,500,250,Tank
S7 Stella,S7,Legendary,Infantry,416,208,Infantry
S7 Klara,S7,Legendary,Infantry,416,208,Infantry
S7 Code,S7,Legendary,Rally,346,173,Rally
S7 Kamila,S7,Legendary,Garrison,346,173,Garrison
S6 Regina,S6,Legendary,Tank Destroyer,289,144,Tank Destroyer
S6 Veronica,S6,Legendary,Tank Destroyer,289,144,Tank Destroyer
S6 Silverhand,S6,Legendary,Tank,240,120,Tank
S6 Red Queen,S6,Legendary,Tank,240,120,Tank
S6 Samantha,S6,Legendary,Infantry,200,100,Infantry
S6 Saoirse,S6,Legendary,Infantry,200,100,Infantry
S6 Emily,S6,Legendary,Rally,167,84,Rally
S6 Zoya,S6,Legendary,Garrison,167,84,Garrison
S5 Feng,S5,Legendary,Tank Destroyer,139,69,Tank Destroyer
S5 Halina,S5,Legendary,Tank Destroyer,139,69,Tank Destroyer
S5 Eva,S5,Legendary,Tank,116,58,Tank
S5 Elsa,S5,Legendary,Tank,116,58,Tank
S5 Camile,S5,Legendary,Infantry,96,48,Infantry
S5 Betty,S5,Legendary,Infantry,96,48,Infantry
S5 Miyeon,S5,Legendary,Rally,80,40,Rally
S5 Julia,S5,Legendary,Garrison,80,40,Garrison
S4 Melina,S4,Legendary,Tank Destroyer,67,34,Tank Destroyer
S4 Jane,S4,Legendary,Tank Destroyer,67,34,Tank Destroyer
S4 Anna,S4,Legendary,Tank,56,28,Tank
S4 Yuki,S4,Legendary,Tank,56,28,Tank
S4 Eunice,S4,Legendary,Infantry,47,23,Infantry
S4 Derya,S4,Legendary,Infantry,47,23,Infantry
S4 Hardwin,S4,Legendary,Rally,39,20,Rally
S4 Erin,S4,Legendary,Garrison,39,20,Garrison
S3 Su,S3,Legendary,Tank Destroyer,33,16,Tank Destroyer
S3 Erica,S3,Legendary,Tank Destroyer,33,16,Tank Destroyer
S3 Aurora,S3,Legendary,Tank,28,14,Tank
S3 Ada,S3,Legendary,Tank,28,14,Tank
S3 Hannah,S3,Legendary,Infantry,23,11,Infantry
S3 Christina,S3,Legendary,Infantry,23,11,Infantry
S3 Sophia,S3,Legendary,Rally,23,11,Rally
S3 Oliva,S3,Legendary,Garrison,23,11,Garrison
S2 Lady Pandora,S2,Legendary,Tank,20,10,Tank
S2 Amanda,S2,Legendary,Infantry,20,10,Infantry
S2 Diana,S2,Legendary,Tank Destroyer,20,10,Tank Destroyer
S2 Natalia,S2,Legendary,Tank,20,10,Tank
Katherine,Original,Legendary,Tank,0,0,Tank
Grace,Original,Legendary,Tank,0,0,Tank
Chloe,Original,Legendary,Rally,0,0,Rally
Ling,Original,Legendary,Tank Destroyer,0,0,Tank Destroyer
Jessica,Original,Legendary,Tank Destroyer,0,0,Tank Destroyer
Lilith,Original,Legendary,Tank Destroyer,0,0,Tank Destroyer
Angel,Original,Legendary,Gatherer,0,0,Gatherer
Sakura,Original,Legendary,Infantry,0,0,Infantry
Loubna,Original,Legendary,Infantry,0,0,Infantry
Angelica,Original,Legendary,Infantry,0,0,Infantry
Ophelia,Original,Legendary,Rally,0,0,Rally
Doireann,Original,Legendary,Garrison,0,0,Garrison
Dorethea,Original,Epic,General,0,0,General
Abigail,Original,Epic,Tank,0,0,Tank
Monica,Original,Epic,"Tank Destroyer, Gatherer",0,0,"Tank Destroyer, Gatherer"
Linda,Original,Epic,Tank,0,0,Tank
Riven,Original,Epic,Infantry,0,0,Infantry
Maria,Original,Epic,Tank Destroyer,0,0,Tank Destroyer
Evelyn,Original,Epic,"Infantry, Gatherer",0,0,"Infantry, Gatherer"
Helena,Original,Epic,General,0,0,General
Marjorie,Original,Elite,"Tank, Gatherer",0,0,"Tank, Gatherer"
Jeanne,Original,Elite,"Tank Destroyer, Gatherer",0,0,"Tank Destroyer, Gatherer"
